VM_Name, Base_VHD, Mem, CPU_Count, CPU_Limit, Script_File
Test_2k3, W2k3-base.vhd, 1GB, 1, 100, Client_User_script.ps1
Test_2k8R2, Win2k8R2-x64-base.vhd, 2GB, 2, 100, Client_User_script.ps1
Test_7x86, Win7-x86-base.vhd, 2GB, 2, 100, Client_User_script.ps1
Test_7x64, Win7-x64-base.vhd, 2GB, 2, 100, Client_User_script.ps1
Test_XP, WinXP-SP3-base.vhd, 1GB, 1, 100, Client_User_script.ps1
Test_7_Basic, Win7-HomeBasic-base.vhd, 1GB, 1, 100, Client_User_script.ps1
Test_Vista, Vista_SP1_x86-base.vhd, 2GB, 2, 100, Client_User_script.ps1
